customer_id,age,region,customer_type,total_purchases,total_spent,avg_purchase_value,satisfaction_score,account_status,referral_source
1,56,Northeast,Gold,1,246.13,105.36,1.1,Active,Online
2,69,Northeast,Silver,11,7928.11,297.04,3.5,Inactive,Referral
3,46,Midwest,Bronze,39,20.57,229.24,3.8,Inactive,Referral
4,32,Southeast,Bronze,1,3439.13,290.09,2.6,Active,Referral
5,60,West,Platinum,79,4945.83,75.39,1.7,Active,Store
6,25,Northeast,Gold,93,8186.42,233.88,2.2,Active,Online
7,78,West,Gold,56,8385.59,28.1,3.6,Active,Referral
8,38,West,Bronze,46,7249.39,30.09,3.0,Active,Referral
9,56,Southeast,Gold,35,2471.98,332.29,4.0,Active,Referral
10,75,Midwest,Bronze,3,7201.87,476.33,1.9,Suspended,Online
11,36,Southeast,Platinum,74,2465.39,390.92,4.4,Active,Online
12,40,Northeast,Bronze,23,2146.08,239.89,1.6,Inactive,Store
13,28,West,Bronze,81,5471.28,37.38,2.3,Active,Online
14,28,Southeast,Silver,90,6788.54,32.06,3.4,Active,Referral
15,41,Southeast,Gold,100,530.52,87.37,3.9,Active,Social Media
16,70,Southeast,Gold,61,600.23,488.15,2.1,Active,Online
17,53,Northeast,Bronze,1,7841.71,205.34,4.8,Inactive,Referral
18,57,Midwest,Silver,14,8594.97,423.27,3.8,Suspended,Store
19,41,Southeast,Gold,74,6044.41,355.52,1.9,Active,Online
20,20,Northeast,Bronze,90,4288.28,306.66,3.9,Active,Referral
21,39,West,Gold,48,8453.16,474.43,3.8,Active,Store
22,70,Southwest,Platinum,86,7288.17,122.9,4.0,Active,Referral
23,19,Northeast,Bronze,34,5795.94,232.9,4.7,Active,Online
24,41,Southwest,Bronze,93,3197.57,433.71,3.8,Inactive,Online
25,61,Southeast,Bronze,46,1979.95,280.36,2.4,Active,Online
26,47,Southeast,Bronze,23,4186.73,130.76,4.2,Active,Advertisement
27,55,Northeast,Silver,82,2868.23,112.37,3.8,Suspended,Online
28,19,Southwest,Gold,59,3392.59,378.91,3.3,Active,Referral
29,77,Southeast,Silver,92,5156.31,16.27,2.4,Active,Referral
30,38,West,Bronze,76,1690.94,457.95,4.7,Inactive,Store
31,50,Midwest,Silver,47,8061.77,19.02,3.1,Active,Referral
32,29,Midwest,Silver,22,1455.29,319.18,3.5,Active,Store
